,ft_name,profile_corr,prompt_name,mixing,badshuffle,usetruecliptext,dataset,sub,test_dataset,algorithm
0,vdvae,0.0009011868319283,human_captions,0.0,False,False,deeprecon,AM,test,brain_diffuser
1,cliptext_final,0.2356686403746072,human_captions,0.0,False,False,deeprecon,AM,test,brain_diffuser
2,cliptext_tokens,0.232182934683837,human_captions,0.0,False,False,deeprecon,AM,test,brain_diffuser
3,clipvision_final,0.2092932074238305,human_captions,0.0,False,False,deeprecon,AM,test,brain_diffuser
4,clipvision_patches,0.0791648288177022,human_captions,0.0,False,False,deeprecon,AM,test,brain_diffuser
0,vdvae,0.0007363701676746,human_captions,0.0,False,False,deeprecon,AM,art,brain_diffuser
1,cliptext_final,0.0576480697343557,human_captions,0.0,False,False,deeprecon,AM,art,brain_diffuser
2,cliptext_tokens,0.0819487366250765,human_captions,0.0,False,False,deeprecon,AM,art,brain_diffuser
3,clipvision_final,0.0520840530226814,human_captions,0.0,False,False,deeprecon,AM,art,brain_diffuser
4,clipvision_patches,0.050445370025219,human_captions,0.0,False,False,deeprecon,AM,art,brain_diffuser
0,vdvae,0.0009011868319283,human_captions,0.25,False,False,deeprecon,AM,test,brain_diffuser
1,cliptext_final,0.2356686403746072,human_captions,0.25,False,False,deeprecon,AM,test,brain_diffuser
2,cliptext_tokens,0.232182934683837,human_captions,0.25,False,False,deeprecon,AM,test,brain_diffuser
3,clipvision_final,0.2092932074238305,human_captions,0.25,False,False,deeprecon,AM,test,brain_diffuser
4,clipvision_patches,0.0791648288177022,human_captions,0.25,False,False,deeprecon,AM,test,brain_diffuser
0,vdvae,0.0007363701676746,human_captions,0.25,False,False,deeprecon,AM,art,brain_diffuser
1,cliptext_final,0.0576480697343557,human_captions,0.25,False,False,deeprecon,AM,art,brain_diffuser
2,cliptext_tokens,0.0819487366250765,human_captions,0.25,False,False,deeprecon,AM,art,brain_diffuser
3,clipvision_final,0.0520840530226814,human_captions,0.25,False,False,deeprecon,AM,art,brain_diffuser
4,clipvision_patches,0.050445370025219,human_captions,0.25,False,False,deeprecon,AM,art,brain_diffuser
0,vdvae,0.0009011868319283,human_captions,0.5,False,False,deeprecon,AM,test,brain_diffuser
1,cliptext_final,0.2356686403746072,human_captions,0.5,False,False,deeprecon,AM,test,brain_diffuser
2,cliptext_tokens,0.232182934683837,human_captions,0.5,False,False,deeprecon,AM,test,brain_diffuser
3,clipvision_final,0.2092932074238305,human_captions,0.5,False,False,deeprecon,AM,test,brain_diffuser
4,clipvision_patches,0.0791648288177022,human_captions,0.5,False,False,deeprecon,AM,test,brain_diffuser
0,vdvae,0.0007363701676746,human_captions,0.5,False,False,deeprecon,AM,art,brain_diffuser
1,cliptext_final,0.0576480697343557,human_captions,0.5,False,False,deeprecon,AM,art,brain_diffuser
2,cliptext_tokens,0.0819487366250765,human_captions,0.5,False,False,deeprecon,AM,art,brain_diffuser
3,clipvision_final,0.0520840530226814,human_captions,0.5,False,False,deeprecon,AM,art,brain_diffuser
4,clipvision_patches,0.050445370025219,human_captions,0.5,False,False,deeprecon,AM,art,brain_diffuser
0,vdvae,0.0009011868319283,human_captions,0.75,False,False,deeprecon,AM,test,brain_diffuser
1,cliptext_final,0.2356686403746072,human_captions,0.75,False,False,deeprecon,AM,test,brain_diffuser
2,cliptext_tokens,0.232182934683837,human_captions,0.75,False,False,deeprecon,AM,test,brain_diffuser
3,clipvision_final,0.2092932074238305,human_captions,0.75,False,False,deeprecon,AM,test,brain_diffuser
4,clipvision_patches,0.0791648288177022,human_captions,0.75,False,False,deeprecon,AM,test,brain_diffuser
0,vdvae,0.0007363701676746,human_captions,0.75,False,False,deeprecon,AM,art,brain_diffuser
1,cliptext_final,0.0576480697343557,human_captions,0.75,False,False,deeprecon,AM,art,brain_diffuser
2,cliptext_tokens,0.0819487366250765,human_captions,0.75,False,False,deeprecon,AM,art,brain_diffuser
3,clipvision_final,0.0520840530226814,human_captions,0.75,False,False,deeprecon,AM,art,brain_diffuser
4,clipvision_patches,0.050445370025219,human_captions,0.75,False,False,deeprecon,AM,art,brain_diffuser
0,vdvae,0.0009011868319283,human_captions,0.99,False,False,deeprecon,AM,test,brain_diffuser
1,cliptext_final,0.2356686403746072,human_captions,0.99,False,False,deeprecon,AM,test,brain_diffuser
2,cliptext_tokens,0.232182934683837,human_captions,0.99,False,False,deeprecon,AM,test,brain_diffuser
3,clipvision_final,0.2092932074238305,human_captions,0.99,False,False,deeprecon,AM,test,brain_diffuser
4,clipvision_patches,0.0791648288177022,human_captions,0.99,False,False,deeprecon,AM,test,brain_diffuser
0,vdvae,0.0007363701676746,human_captions,0.99,False,False,deeprecon,AM,art,brain_diffuser
1,cliptext_final,0.0576480697343557,human_captions,0.99,False,False,deeprecon,AM,art,brain_diffuser
2,cliptext_tokens,0.0819487366250765,human_captions,0.99,False,False,deeprecon,AM,art,brain_diffuser
3,clipvision_final,0.0520840530226814,human_captions,0.99,False,False,deeprecon,AM,art,brain_diffuser
4,clipvision_patches,0.050445370025219,human_captions,0.99,False,False,deeprecon,AM,art,brain_diffuser
0,vdvae,0.0009011868319283,human_captions,0.0,False,True,deeprecon,AM,test,brain_diffuser
1,cliptext_final,0.2356686459908939,human_captions,0.0,False,True,deeprecon,AM,test,brain_diffuser
2,cliptext_tokens,0.2321829389270917,human_captions,0.0,False,True,deeprecon,AM,test,brain_diffuser
3,clipvision_final,0.2092932074238305,human_captions,0.0,False,True,deeprecon,AM,test,brain_diffuser
4,clipvision_patches,0.0791648288177022,human_captions,0.0,False,True,deeprecon,AM,test,brain_diffuser
0,vdvae,0.0007363701676746,human_captions,0.0,False,True,deeprecon,AM,art,brain_diffuser
1,cliptext_final,0.0576480641026884,human_captions,0.0,False,True,deeprecon,AM,art,brain_diffuser
2,cliptext_tokens,0.0819487319829203,human_captions,0.0,False,True,deeprecon,AM,art,brain_diffuser
3,clipvision_final,0.0520840530226814,human_captions,0.0,False,True,deeprecon,AM,art,brain_diffuser
4,clipvision_patches,0.050445370025219,human_captions,0.0,False,True,deeprecon,AM,art,brain_diffuser
0,vdvae,0.0009011868319283,human_captions,0.25,False,True,deeprecon,AM,test,brain_diffuser
1,cliptext_final,0.2356686459908939,human_captions,0.25,False,True,deeprecon,AM,test,brain_diffuser
2,cliptext_tokens,0.2321829389270917,human_captions,0.25,False,True,deeprecon,AM,test,brain_diffuser
3,clipvision_final,0.2092932074238305,human_captions,0.25,False,True,deeprecon,AM,test,brain_diffuser
4,clipvision_patches,0.0791648288177022,human_captions,0.25,False,True,deeprecon,AM,test,brain_diffuser
0,vdvae,0.0007363701676746,human_captions,0.25,False,True,deeprecon,AM,art,brain_diffuser
1,cliptext_final,0.0576480641026884,human_captions,0.25,False,True,deeprecon,AM,art,brain_diffuser
2,cliptext_tokens,0.0819487319829203,human_captions,0.25,False,True,deeprecon,AM,art,brain_diffuser
3,clipvision_final,0.0520840530226814,human_captions,0.25,False,True,deeprecon,AM,art,brain_diffuser
4,clipvision_patches,0.050445370025219,human_captions,0.25,False,True,deeprecon,AM,art,brain_diffuser
0,vdvae,0.0009011868319283,human_captions,0.5,False,True,deeprecon,AM,test,brain_diffuser
1,cliptext_final,0.2356686403746072,human_captions,0.5,False,True,deeprecon,AM,test,brain_diffuser
2,cliptext_tokens,0.232182934683837,human_captions,0.5,False,True,deeprecon,AM,test,brain_diffuser
3,clipvision_final,0.2092932074238305,human_captions,0.5,False,True,deeprecon,AM,test,brain_diffuser
4,clipvision_patches,0.0791648288177022,human_captions,0.5,False,True,deeprecon,AM,test,brain_diffuser
0,vdvae,0.0007363701676746,human_captions,0.5,False,True,deeprecon,AM,art,brain_diffuser
1,cliptext_final,0.0576480697343557,human_captions,0.5,False,True,deeprecon,AM,art,brain_diffuser
2,cliptext_tokens,0.0819487366250765,human_captions,0.5,False,True,deeprecon,AM,art,brain_diffuser
3,clipvision_final,0.0520840530226814,human_captions,0.5,False,True,deeprecon,AM,art,brain_diffuser
4,clipvision_patches,0.050445370025219,human_captions,0.5,False,True,deeprecon,AM,art,brain_diffuser
0,vdvae,0.0009011868319283,human_captions,0.75,False,True,deeprecon,AM,test,brain_diffuser
1,cliptext_final,0.2356686403746072,human_captions,0.75,False,True,deeprecon,AM,test,brain_diffuser
2,cliptext_tokens,0.232182934683837,human_captions,0.75,False,True,deeprecon,AM,test,brain_diffuser
3,clipvision_final,0.2092932074238305,human_captions,0.75,False,True,deeprecon,AM,test,brain_diffuser
4,clipvision_patches,0.0791648288177022,human_captions,0.75,False,True,deeprecon,AM,test,brain_diffuser
0,vdvae,0.0007363701676746,human_captions,0.75,False,True,deeprecon,AM,art,brain_diffuser
1,cliptext_final,0.0576480697343557,human_captions,0.75,False,True,deeprecon,AM,art,brain_diffuser
2,cliptext_tokens,0.0819487366250765,human_captions,0.75,False,True,deeprecon,AM,art,brain_diffuser
3,clipvision_final,0.0520840530226814,human_captions,0.75,False,True,deeprecon,AM,art,brain_diffuser
4,clipvision_patches,0.050445370025219,human_captions,0.75,False,True,deeprecon,AM,art,brain_diffuser
0,vdvae,0.0009011868319283,human_captions,0.99,False,True,deeprecon,AM,test,brain_diffuser
1,cliptext_final,0.2356686403746072,human_captions,0.99,False,True,deeprecon,AM,test,brain_diffuser
2,cliptext_tokens,0.232182934683837,human_captions,0.99,False,True,deeprecon,AM,test,brain_diffuser
3,clipvision_final,0.2092932074238305,human_captions,0.99,False,True,deeprecon,AM,test,brain_diffuser
4,clipvision_patches,0.0791648288177022,human_captions,0.99,False,True,deeprecon,AM,test,brain_diffuser
0,vdvae,0.0007363701676746,human_captions,0.99,False,True,deeprecon,AM,art,brain_diffuser
1,cliptext_final,0.0576480697343557,human_captions,0.99,False,True,deeprecon,AM,art,brain_diffuser
2,cliptext_tokens,0.0819487366250765,human_captions,0.99,False,True,deeprecon,AM,art,brain_diffuser
3,clipvision_final,0.0520840530226814,human_captions,0.99,False,True,deeprecon,AM,art,brain_diffuser
4,clipvision_patches,0.050445370025219,human_captions,0.99,False,True,deeprecon,AM,art,brain_diffuser
0,vdvae,0.0009011868319283,human_captions_shuffled_single_caption,0.0,False,False,deeprecon,AM,test,brain_diffuser
1,cliptext_final,0.0071507709137672,human_captions_shuffled_single_caption,0.0,False,False,deeprecon,AM,test,brain_diffuser
2,cliptext_tokens,0.0111309185296727,human_captions_shuffled_single_caption,0.0,False,False,deeprecon,AM,test,brain_diffuser
3,clipvision_final,0.2092932074238305,human_captions_shuffled_single_caption,0.0,False,False,deeprecon,AM,test,brain_diffuser
4,clipvision_patches,0.0791648288177022,human_captions_shuffled_single_caption,0.0,False,False,deeprecon,AM,test,brain_diffuser
0,vdvae,0.0007363701676746,human_captions_shuffled_single_caption,0.0,False,False,deeprecon,AM,art,brain_diffuser
1,cliptext_final,0.007804557245978,human_captions_shuffled_single_caption,0.0,False,False,deeprecon,AM,art,brain_diffuser
2,cliptext_tokens,-0.0023201227787191,human_captions_shuffled_single_caption,0.0,False,False,deeprecon,AM,art,brain_diffuser
3,clipvision_final,0.0520840530226814,human_captions_shuffled_single_caption,0.0,False,False,deeprecon,AM,art,brain_diffuser
4,clipvision_patches,0.050445370025219,human_captions_shuffled_single_caption,0.0,False,False,deeprecon,AM,art,brain_diffuser
0,vdvae,0.0009011868319283,human_captions_shuffled_single_caption,0.25,False,False,deeprecon,AM,test,brain_diffuser
1,cliptext_final,0.0071507709137672,human_captions_shuffled_single_caption,0.25,False,False,deeprecon,AM,test,brain_diffuser
2,cliptext_tokens,0.0111309185296727,human_captions_shuffled_single_caption,0.25,False,False,deeprecon,AM,test,brain_diffuser
3,clipvision_final,0.2092932074238305,human_captions_shuffled_single_caption,0.25,False,False,deeprecon,AM,test,brain_diffuser
4,clipvision_patches,0.0791648288177022,human_captions_shuffled_single_caption,0.25,False,False,deeprecon,AM,test,brain_diffuser
0,vdvae,0.0007363701676746,human_captions_shuffled_single_caption,0.25,False,False,deeprecon,AM,art,brain_diffuser
1,cliptext_final,0.007804557245978,human_captions_shuffled_single_caption,0.25,False,False,deeprecon,AM,art,brain_diffuser
2,cliptext_tokens,-0.0023201227787191,human_captions_shuffled_single_caption,0.25,False,False,deeprecon,AM,art,brain_diffuser
3,clipvision_final,0.0520840530226814,human_captions_shuffled_single_caption,0.25,False,False,deeprecon,AM,art,brain_diffuser
4,clipvision_patches,0.050445370025219,human_captions_shuffled_single_caption,0.25,False,False,deeprecon,AM,art,brain_diffuser
0,vdvae,0.0009011868319283,human_captions_shuffled_single_caption,0.5,False,False,deeprecon,AM,test,brain_diffuser
1,cliptext_final,0.0071507709137672,human_captions_shuffled_single_caption,0.5,False,False,deeprecon,AM,test,brain_diffuser
2,cliptext_tokens,0.0111309185296727,human_captions_shuffled_single_caption,0.5,False,False,deeprecon,AM,test,brain_diffuser
3,clipvision_final,0.2092932074238305,human_captions_shuffled_single_caption,0.5,False,False,deeprecon,AM,test,brain_diffuser
4,clipvision_patches,0.0791648288177022,human_captions_shuffled_single_caption,0.5,False,False,deeprecon,AM,test,brain_diffuser
0,vdvae,0.0007363701676746,human_captions_shuffled_single_caption,0.5,False,False,deeprecon,AM,art,brain_diffuser
1,cliptext_final,0.007804557245978,human_captions_shuffled_single_caption,0.5,False,False,deeprecon,AM,art,brain_diffuser
2,cliptext_tokens,-0.0023201227787191,human_captions_shuffled_single_caption,0.5,False,False,deeprecon,AM,art,brain_diffuser
3,clipvision_final,0.0520840530226814,human_captions_shuffled_single_caption,0.5,False,False,deeprecon,AM,art,brain_diffuser
4,clipvision_patches,0.050445370025219,human_captions_shuffled_single_caption,0.5,False,False,deeprecon,AM,art,brain_diffuser
0,vdvae,0.0009011868319283,human_captions_shuffled_single_caption,0.75,False,False,deeprecon,AM,test,brain_diffuser
1,cliptext_final,0.0071507699888251,human_captions_shuffled_single_caption,0.75,False,False,deeprecon,AM,test,brain_diffuser
2,cliptext_tokens,0.0111309181167135,human_captions_shuffled_single_caption,0.75,False,False,deeprecon,AM,test,brain_diffuser
3,clipvision_final,0.2092932074238305,human_captions_shuffled_single_caption,0.75,False,False,deeprecon,AM,test,brain_diffuser
4,clipvision_patches,0.0791648288177022,human_captions_shuffled_single_caption,0.75,False,False,deeprecon,AM,test,brain_diffuser
0,vdvae,0.0007363701676746,human_captions_shuffled_single_caption,0.75,False,False,deeprecon,AM,art,brain_diffuser
1,cliptext_final,0.0078045575591796,human_captions_shuffled_single_caption,0.75,False,False,deeprecon,AM,art,brain_diffuser
2,cliptext_tokens,-0.0023201228580017,human_captions_shuffled_single_caption,0.75,False,False,deeprecon,AM,art,brain_diffuser
3,clipvision_final,0.0520840530226814,human_captions_shuffled_single_caption,0.75,False,False,deeprecon,AM,art,brain_diffuser
4,clipvision_patches,0.050445370025219,human_captions_shuffled_single_caption,0.75,False,False,deeprecon,AM,art,brain_diffuser
0,vdvae,0.0009011868319283,human_captions_shuffled_single_caption,0.99,False,False,deeprecon,AM,test,brain_diffuser
1,cliptext_final,0.0071507699888251,human_captions_shuffled_single_caption,0.99,False,False,deeprecon,AM,test,brain_diffuser
2,cliptext_tokens,0.0111309181167135,human_captions_shuffled_single_caption,0.99,False,False,deeprecon,AM,test,brain_diffuser
3,clipvision_final,0.2092932074238305,human_captions_shuffled_single_caption,0.99,False,False,deeprecon,AM,test,brain_diffuser
4,clipvision_patches,0.0791648288177022,human_captions_shuffled_single_caption,0.99,False,False,deeprecon,AM,test,brain_diffuser
0,vdvae,0.0007363701676746,human_captions_shuffled_single_caption,0.99,False,False,deeprecon,AM,art,brain_diffuser
1,cliptext_final,0.0078045575591796,human_captions_shuffled_single_caption,0.99,False,False,deeprecon,AM,art,brain_diffuser
2,cliptext_tokens,-0.0023201228580017,human_captions_shuffled_single_caption,0.99,False,False,deeprecon,AM,art,brain_diffuser
3,clipvision_final,0.0520840530226814,human_captions_shuffled_single_caption,0.99,False,False,deeprecon,AM,art,brain_diffuser
4,clipvision_patches,0.050445370025219,human_captions_shuffled_single_caption,0.99,False,False,deeprecon,AM,art,brain_diffuser
0,vdvae,0.0009011868319283,human_captions,0.4,False,False,deeprecon,AM,test,brain_diffuser
1,cliptext_final,0.2356686403746072,human_captions,0.4,False,False,deeprecon,AM,test,brain_diffuser
2,cliptext_tokens,0.232182934683837,human_captions,0.4,False,False,deeprecon,AM,test,brain_diffuser
3,clipvision_final,0.2092932074238305,human_captions,0.4,False,False,deeprecon,AM,test,brain_diffuser
4,clipvision_patches,0.0791648288177022,human_captions,0.4,False,False,deeprecon,AM,test,brain_diffuser
0,vdvae,0.0007363701676746,human_captions,0.4,False,False,deeprecon,AM,art,brain_diffuser
1,cliptext_final,0.0576480697343557,human_captions,0.4,False,False,deeprecon,AM,art,brain_diffuser
2,cliptext_tokens,0.0819487366250765,human_captions,0.4,False,False,deeprecon,AM,art,brain_diffuser
3,clipvision_final,0.0520840530226814,human_captions,0.4,False,False,deeprecon,AM,art,brain_diffuser
4,clipvision_patches,0.050445370025219,human_captions,0.4,False,False,deeprecon,AM,art,brain_diffuser
0,vdvae,0.0009011868319283,human_captions_shuffled_single_caption,0.4,False,False,deeprecon,AM,test,brain_diffuser
1,cliptext_final,0.0071507709137672,human_captions_shuffled_single_caption,0.4,False,False,deeprecon,AM,test,brain_diffuser
2,cliptext_tokens,0.0111309185296727,human_captions_shuffled_single_caption,0.4,False,False,deeprecon,AM,test,brain_diffuser
3,clipvision_final,0.2092932074238305,human_captions_shuffled_single_caption,0.4,False,False,deeprecon,AM,test,brain_diffuser
4,clipvision_patches,0.0791648288177022,human_captions_shuffled_single_caption,0.4,False,False,deeprecon,AM,test,brain_diffuser
0,vdvae,0.0007363701676746,human_captions_shuffled_single_caption,0.4,False,False,deeprecon,AM,art,brain_diffuser
1,cliptext_final,0.007804557245978,human_captions_shuffled_single_caption,0.4,False,False,deeprecon,AM,art,brain_diffuser
2,cliptext_tokens,-0.0023201227787191,human_captions_shuffled_single_caption,0.4,False,False,deeprecon,AM,art,brain_diffuser
3,clipvision_final,0.0520840530226814,human_captions_shuffled_single_caption,0.4,False,False,deeprecon,AM,art,brain_diffuser
4,clipvision_patches,0.050445370025219,human_captions_shuffled_single_caption,0.4,False,False,deeprecon,AM,art,brain_diffuser
0,vdvae,0.0009011868319283,low_level_short,0.4,False,False,deeprecon,AM,test,brain_diffuser
1,cliptext_final,0.1573877924937801,low_level_short,0.4,False,False,deeprecon,AM,test,brain_diffuser
2,cliptext_tokens,0.1398749626559583,low_level_short,0.4,False,False,deeprecon,AM,test,brain_diffuser
3,clipvision_final,0.2092932074238305,low_level_short,0.4,False,False,deeprecon,AM,test,brain_diffuser
4,clipvision_patches,0.0791648288177022,low_level_short,0.4,False,False,deeprecon,AM,test,brain_diffuser
0,vdvae,0.0007363701676746,low_level_short,0.4,False,False,deeprecon,AM,art,brain_diffuser
1,cliptext_final,0.0864164619393069,low_level_short,0.4,False,False,deeprecon,AM,art,brain_diffuser
2,cliptext_tokens,0.1058024711667818,low_level_short,0.4,False,False,deeprecon,AM,art,brain_diffuser
3,clipvision_final,0.0520840530226814,low_level_short,0.4,False,False,deeprecon,AM,art,brain_diffuser
4,clipvision_patches,0.050445370025219,low_level_short,0.4,False,False,deeprecon,AM,art,brain_diffuser
0,vdvae,0.0009011868319283,low_level_long,0.4,False,False,deeprecon,AM,test,brain_diffuser
1,cliptext_final,0.1458976673173539,low_level_long,0.4,False,False,deeprecon,AM,test,brain_diffuser
2,cliptext_tokens,0.1082837888075106,low_level_long,0.4,False,False,deeprecon,AM,test,brain_diffuser
3,clipvision_final,0.2092932074238305,low_level_long,0.4,False,False,deeprecon,AM,test,brain_diffuser
4,clipvision_patches,0.0791648288177022,low_level_long,0.4,False,False,deeprecon,AM,test,brain_diffuser
0,vdvae,0.0007363701676746,low_level_long,0.4,False,False,deeprecon,AM,art,brain_diffuser
1,cliptext_final,0.1046151837768146,low_level_long,0.4,False,False,deeprecon,AM,art,brain_diffuser
2,cliptext_tokens,0.1025111822567115,low_level_long,0.4,False,False,deeprecon,AM,art,brain_diffuser
3,clipvision_final,0.0520840530226814,low_level_long,0.4,False,False,deeprecon,AM,art,brain_diffuser
4,clipvision_patches,0.050445370025219,low_level_long,0.4,False,False,deeprecon,AM,art,brain_diffuser
0,vdvae,0.0009011868319283,high_level_short,0.4,False,False,deeprecon,AM,test,brain_diffuser
1,cliptext_final,0.2067763374959802,high_level_short,0.4,False,False,deeprecon,AM,test,brain_diffuser
2,cliptext_tokens,0.1926491245319282,high_level_short,0.4,False,False,deeprecon,AM,test,brain_diffuser
3,clipvision_final,0.2092932074238305,high_level_short,0.4,False,False,deeprecon,AM,test,brain_diffuser
4,clipvision_patches,0.0791648288177022,high_level_short,0.4,False,False,deeprecon,AM,test,brain_diffuser
0,vdvae,0.0007363701676746,high_level_short,0.4,False,False,deeprecon,AM,art,brain_diffuser
1,cliptext_final,0.0490378641576337,high_level_short,0.4,False,False,deeprecon,AM,art,brain_diffuser
2,cliptext_tokens,0.0640943827338827,high_level_short,0.4,False,False,deeprecon,AM,art,brain_diffuser
3,clipvision_final,0.0520840530226814,high_level_short,0.4,False,False,deeprecon,AM,art,brain_diffuser
4,clipvision_patches,0.050445370025219,high_level_short,0.4,False,False,deeprecon,AM,art,brain_diffuser
0,vdvae,0.0009011868319283,high_level_long,0.4,False,False,deeprecon,AM,test,brain_diffuser
1,cliptext_final,0.1868670500917438,high_level_long,0.4,False,False,deeprecon,AM,test,brain_diffuser
2,cliptext_tokens,0.1541329448539226,high_level_long,0.4,False,False,deeprecon,AM,test,brain_diffuser
3,clipvision_final,0.2092932074238305,high_level_long,0.4,False,False,deeprecon,AM,test,brain_diffuser
4,clipvision_patches,0.0791648288177022,high_level_long,0.4,False,False,deeprecon,AM,test,brain_diffuser
0,vdvae,0.0007363701676746,high_level_long,0.4,False,False,deeprecon,AM,art,brain_diffuser
1,cliptext_final,0.0593765148965909,high_level_long,0.4,False,False,deeprecon,AM,art,brain_diffuser
2,cliptext_tokens,0.0702673415003008,high_level_long,0.4,False,False,deeprecon,AM,art,brain_diffuser
3,clipvision_final,0.0520840530226814,high_level_long,0.4,False,False,deeprecon,AM,art,brain_diffuser
4,clipvision_patches,0.050445370025219,high_level_long,0.4,False,False,deeprecon,AM,art,brain_diffuser
0,vdvae,0.0009011868319283,human_captions,0.8,False,False,deeprecon,AM,test,brain_diffuser
1,cliptext_final,0.2356686417645258,human_captions,0.8,False,False,deeprecon,AM,test,brain_diffuser
2,cliptext_tokens,0.2321829363523685,human_captions,0.8,False,False,deeprecon,AM,test,brain_diffuser
